S,Avg Key Comp,Avg Processing Time
1,18674532.4,3.026355084400001
2,18674513.8,2.8449428928000002
3,18674646.0,2.8121042958
4,18727167.6,2.797774725000001
5,18727282.2,2.7147422397999987
6,18727628.2,2.7331503002000006
7,18821180.0,2.7727585053999975
8,19073229.6,2.6679429606000014
9,19072284.2,2.7240117225999967
10,19072829.4,2.6293987307999998
11,19073442.6,2.7457827833999944
12,19072919.2,2.638278617399993
13,19072330.2,2.851010102200007
14,19073075.8,2.6443606191999947
15,19887997.4,2.683434587000005
16,20222085.2,2.6673353458000064
17,20222129.2,2.7655213843999946
18,20224202.2,2.6952309314000105
19,20225360.6,2.7692791212000087
20,20224186.4,2.669216522799991
21,20222853.0,2.728038300000003
22,20223516.4,2.6694033261999834
23,20224126.8,2.755252781599995
24,20221176.2,2.8758439010000076
25,20225424.2,2.752772952800001
26,20224381.4,2.705032295400008
27,20223750.2,2.6943408008000005
28,20221161.4,2.763546927799996
29,20224264.6,2.7420884205999982
30,21600133.2,3.06056423120001
31,23192011.4,3.042153606199997
32,23189716.2,3.046185806200003
33,23184782.8,2.9556933743999934
34,23185660.0,2.885908627399999
35,23183385.8,3.1174088911999887
36,23183628.2,3.0941272897999625
37,23185849.8,2.8746179331999655
38,23184022.2,3.024128234
39,23182785.8,3.0326506204000454
40,23189280.6,2.9528187685999683
41,23185576.4,3.1287852506000036
42,23187803.8,2.8769735520000266
43,23187040.4,2.9659598892000076
44,23186322.6,2.969681026200033
45,23185516.0,2.8915085146000363
46,23188161.6,3.2355311402000098
47,23188957.0,3.0492961600000172
48,23185448.2,3.0409667190000165
49,23188150.0,3.0208629040000234
50,23184798.4,3.0197302878000074
