V,E,Array Queue Operations,Array Queue Runtime,Min_Heap Queue Operations,Min_Heap Queue Runtime
1000,0,1000000,2045216,1997,704750
1000,49950,1000000,2065416,13997,1595917
1000,99900,1000000,2070236,15397,1291417
1000,149850,1000000,2072323,16242,869250
1000,199800,1000000,2070982,16580,940625
1000,249750,1000000,2076812,17611,994833
1000,299700,1000000,2075416,17684,1109125
1000,349650,1000000,2080125,17627,1252000
1000,399600,1000000,2082292,17839,1394125
1000,449550,1000000,2082125,17251,1479500
1000,499500,1000000,2104959,18395,1748458
1000,549450,1000000,2079750,17916,1790958
1000,599400,1000000,2063709,18030,1896875
1000,649350,1000000,2087000,18377,2052333
1000,699300,1000000,2066208,18025,2201208
1000,749250,1000000,2063083,18182,2378083
1000,799200,1000000,2170708,17867,2382875
1000,849150,1000000,2086167,17927,2648791
1000,899100,1000000,2072541,18448,2792458
1000,949050,1000000,2083875,18013,2856250
1000,999000,1000000,2067583,18331,2984500
2000,0,4000000,6527875,3997,28792
2000,199900,4000000,8320500,31165,1114250
2000,399800,4000000,8264083,32512,1694792
2000,599700,4000000,8207584,36555,2298333
2000,799600,4000000,8372000,36625,2699417
2000,999500,4000000,8323583,39402,3303333
2000,1199400,4000000,8359833,38855,3779917
2000,1399300,4000000,8208875,39782,4246667
2000,1599200,4000000,8189834,38038,4670500
2000,1799100,4000000,8248708,39509,5284125
2000,1999000,4000000,8337041,40221,5764000
2000,2198900,4000000,8283250,38254,6326250
2000,2398800,4000000,8223208,39875,6701375
2000,2598700,4000000,8374125,39342,7245375
2000,2798600,4000000,8360584,41338,7820375
2000,2998500,4000000,8339084,40044,8174750
2000,3198400,4000000,8185916,39651,8718667
2000,3398300,4000000,8333667,40273,9094500
2000,3598200,4000000,8202042,40747,9639166
2000,3798100,4000000,8340875,41799,10352500
2000,3998000,4000000,8484042,39366,10624125
3000,0,9000000,14624042,5997,43167
3000,449850,9000000,18690916,49633,2199084
3000,899700,9000000,18540709,55685,3403125
3000,1349550,9000000,18746084,62954,4712458
3000,1799400,9000000,18394083,63154,5861333
3000,2249250,9000000,18780958,59313,6868416
3000,2699100,9000000,18694917,60289,8151458
3000,3148950,9000000,18441417,61601,8897041
3000,3598800,9000000,18511041,61542,10157416
3000,4048650,9000000,18892959,63000,11039750
3000,4498500,9000000,18508416,62244,12333500
3000,4948350,9000000,18838291,64812,13435166
3000,5398200,9000000,18818958,64970,14461375
3000,5848050,9000000,18505333,63120,15556416
3000,6297900,9000000,18883584,62872,16490917
3000,6747750,9000000,18749750,63541,17531458
3000,7197600,9000000,18401042,65058,18900958
3000,7647450,9000000,18461250,64475,19882875
3000,8097300,9000000,18453250,63650,23860166
3000,8547150,9000000,18810334,62842,22611875
3000,8997000,9000000,18404542,64916,23162875
4000,0,16000000,27902250,7997,65125
4000,799800,16000000,33216625,74335,3808250
4000,1599600,16000000,34197834,84808,7947333
4000,2399400,16000000,34842750,81361,7845458
4000,3199200,16000000,33836250,84255,10089667
4000,3999000,16000000,33465166,86350,12006917
4000,4798800,16000000,33811709,84801,13435333
4000,5598600,16000000,33383791,84520,15661458
4000,6398400,16000000,33589208,84350,24123042
4000,7198200,16000000,33448458,88681,19266792
4000,7998000,16000000,33286292,87476,28753000
4000,8797800,16000000,38110959,89286,25382500
4000,9597600,16000000,33863208,85219,24794375
4000,10397400,16000000,32948041,88561,31394042
4000,11197200,16000000,35605083,89466,28640292
4000,11997000,16000000,32890250,89757,30531584
4000,12796800,16000000,33762917,90789,32529375
4000,13596600,16000000,33063292,88184,35789375
4000,14396400,16000000,33100708,87616,40310125
4000,15196200,16000000,33201917,88951,40420792
4000,15996000,16000000,33264750,86946,40128375
5000,0,25000000,41566166,9997,69333
5000,1249750,25000000,51881500,91212,5386500
5000,2499500,25000000,52547583,103235,8727750
5000,3749250,25000000,53042166,102168,12380917
5000,4999000,25000000,53335250,113445,16010208
5000,6248750,25000000,53025542,109562,23687333
5000,7498500,25000000,51693416,120080,20775416
5000,8748250,25000000,51732250,112351,23592125
5000,9998000,25000000,51950209,113474,26477541
5000,11247750,25000000,51152167,109786,29666542
5000,12497500,25000000,51657041,113709,33970666
5000,13747250,25000000,53048875,112457,35613416
