V,E,Array Queue Operations,Array Queue Runtime,Min_Heap Queue Operations,Min_Heap Queue Runtime
1000,1000,1000000,20353375,6863,183166
1100,1100,1210000,8330708,8025,203166
1200,1200,1440000,9720375,8572,213166
1300,1300,1690000,11414417,9248,233166
1400,1400,1960000,13163041,10208,243166
1500,1500,2250000,11566000,10569,253166
1600,1600,2560000,13178292,11631,263166
1700,1700,2890000,12771375,12219,283166
1800,1800,3240000,14284958,13289,293166
1900,1900,3610000,13808666,13984,303166
2000,2000,4000000,15250792,14546,313166
2100,2100,4410000,16839667,15634,321583
2200,2200,4840000,16369333,15884,323166
2300,2300,5290000,17824042,16842,334417
2400,2400,5760000,19345333,17799,329041
2500,2500,6250000,20993041,16745,329042
2600,2600,6760000,24112791,18521,382959
2700,2700,7290000,24458583,19815,387375
2800,2800,7840000,26330125,20138,417833
2900,2900,8410000,28239958,20999,344917
3000,3000,9000000,30208791,22505,351042
3100,3100,9610000,32262375,22757,412125
3200,3200,10240000,34391875,25702,499583
3300,3300,10890000,36554167,25838,410042
3400,3400,11560000,39286250,26051,411416
3500,3500,12250000,41350291,24417,382583
3600,3600,12960000,43783417,25715,464625
3700,3700,13690000,46221792,26729,425583
3800,3800,14440000,49152541,30091,512459
3900,3900,15210000,51564083,29911,477000
4000,4000,16000000,54142709,31581,497000
4100,4100,16810000,57454416,30948,484666
4200,4200,17640000,59429750,30983,489583
4300,4300,18490000,62979083,32163,507458
4400,4400,19360000,65495500,33362,520959
4500,4500,20250000,68952750,34432,533625
4600,4600,21160000,71342833,35729,532667
4700,4700,22090000,74361959,34297,530709
4800,4800,23040000,77580375,36943,579459
4900,4900,24010000,82216084,35855,543042
5000,5000,25000000,84434125,38731,597833
5100,5100,26010000,87768459,37363,669000
5200,5200,27040000,92045708,37377,555708
5300,5300,28090000,94338667,39963,618125
5400,5400,29160000,97690333,43381,691417
5500,5500,30250000,101493416,41339,655500
5600,5600,31360000,104883791,43652,807250
5700,5700,32490000,108750875,42274,662459
5800,5800,33640000,112621167,41177,616959
5900,5900,34810000,116287750,46779,731167
6000,6000,36000000,120404208,48022,755250
6100,6100,37210000,125451750,49304,770667
6200,6200,38440000,128793917,44849,700666
6300,6300,39690000,134838292,46284,743083
6400,6400,40960000,138134250,48192,742458
6500,6500,42250000,141443417,47861,746667
6600,6600,43560000,147154167,51559,809917
6700,6700,44890000,150249750,50427,828583
6800,6800,46240000,154655458,54591,904334
6900,6900,47610000,158989667,53619,817667
7000,7000,49000000,163671750,54166,836375
7100,7100,50410000,168551833,52279,783916
7200,7200,51840000,173518375,56842,888959
7300,7300,53290000,178697750,57283,934458
7400,7400,54760000,183593459,57823,884833
7500,7500,56250000,190119834,61627,984541
7600,7600,57760000,193062209,59346,942250
7700,7700,59290000,198810666,59408,972583
7800,7800,60840000,203869708,61087,1027292
7900,7900,62410000,209511625,64243,1053958
8000,8000,64000000,214102583,66098,1037708
8100,8100,65610000,219546333,63478,984334
8200,8200,67240000,225000792,67227,1040000
8300,8300,68890000,233951667,65462,1005417
8400,8400,70560000,236921208,65464,984875
8500,8500,72250000,244008833,64523,1052250
8600,8600,73960000,247428000,65848,1067083
8700,8700,75690000,253200500,69911,1083708
8800,8800,77440000,259395000,66457,1094875
8900,8900,79210000,264933167,71948,1162291
9000,9000,81000000,270504041,72853,1198541
9100,9100,82810000,276696625,67684,1041791
9200,9200,84640000,282845834,72137,1111042
9300,9300,86490000,288945500,71124,1079750
9400,9400,88360000,297247084,73583,1134959
9500,9500,90250000,301524875,77476,1203833
9600,9600,92160000,307968541,67176,1105083
9700,9700,94090000,317963416,75544,1217792
9800,9800,96040000,325093458,76661,1230542
9900,9900,98010000,327953583,72305,1123542
10000,10000,100000000,334186209,81528,1323750
