V,E,Array Queue Operations,Array Queue Runtime,Min_Heap Queue Operations,Min_Heap Queue Runtime
200,39800,40000,2250000,2772,2406700
400,159600,160000,3304500,6476,3942700
600,359400,360000,1349700,10142,1572400
800,639200,640000,2168400,14230,3350300
1000,999000,1000000,3290600,18587,4686500
1200,1438800,1440000,4917800,22808,6697600
1400,1958600,1960000,6715300,26872,9080500
1600,2558400,2560000,8615700,31468,15446600
1800,3238200,3240000,10701500,36104,15691400
2000,3998000,4000000,13305100,38755,22247900
2200,4837800,4840000,18542300,44898,21543000
2400,5757600,5760000,18947500,47954,26832900
2600,6757400,6760000,25284600,50605,30340300
2800,7837200,7840000,25631300,60478,36030400
3000,8997000,9000000,29704700,63447,41228100
3200,10236800,10240000,33826600,69446,47646300
3400,11556600,11560000,38170300,72516,53293900
3600,12956400,12960000,42386700,78754,60701400
3800,14436200,14440000,47331400,82255,66830000
4000,15996000,16000000,57491400,85301,74813600
4200,17635800,17640000,58857500,93460,83360200
4400,19355600,19360000,70037300,99004,106978300
4600,21155400,21160000,86236900,104980,95865200
4800,23035200,23040000,76068400,109821,128652400
5000,24995000,25000000,94306100,115180,206687600
5200,27034800,27040000,127214500,120932,132496000
5400,29154600,29160000,103866300,125431,146530900
5600,31354400,31360000,109155200,130181,144714000
5800,33634200,33640000,114529300,134401,157043400
6000,35994000,36000000,122192200,141167,165865500
6200,38433800,38440000,136086200,144392,176515300
6400,40953600,40960000,140090000,152549,187392600
6600,43553400,43560000,152179200,153051,201611400
6800,46233200,46240000,155189700,154361,216657000
7000,48993000,49000000,170248700,168538,227089800
7200,51832800,51840000,170473400,167903,296352600
7400,54752600,54760000,188927700,176367,255440100
7600,57752400,57760000,209789200,181842,264010100
7800,60832200,60840000,210770900,184487,281644800
8000,63992000,64000000,216556300,195249,295690800
8200,67231800,67240000,227999700,197822,307401900
8400,70551600,70560000,234489600,204194,411834200
8600,73951400,73960000,271920499,207787,359415600
8800,77431200,77440000,276999800,215386,366620900
9000,80991000,81000000,285999800,217353,385318500
9200,84630800,84640000,289999800,224864,390020900
9400,88350600,88360000,291269300,231659,408526099
9600,92150400,92160000,299498099,234031,432932800
9800,96030200,96040000,317127199,242059,483004301
10000,99990000,100000000,330370001,244255,450368400
